127.0.0.1 - - [19/Sep/2026 13:06:42] "HEAD /index.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:07:37] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:07:37] "GET /terminal.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:07:37] "GET /sweep.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:07:37] "GET /tiles.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:07:37] "GET /glass.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:07:37] "GET /rules.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:07:37] "GET /press.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:07:37] "GET /support.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:07:37] "GET /vendor/lucide.min.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:07:37] "GET /linkpoint-logo-animated.svg HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:07:37] "GET /linkpoint-logo-static.svg HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:07:37] "GET /vendor/react.production.min.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:07:37] "GET /vendor/react-dom.production.min.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:09:23] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:09:23] "GET /sweep.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:09:23] "GET /tiles.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:09:23] "GET /terminal.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:09:23] "GET /glass.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:09:23] "GET /rules.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:09:23] "GET /press.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:09:23] "GET /linkpoint-logo-static.svg HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:09:23] "GET /support.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:09:23] "GET /vendor/lucide.min.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:09:23] "GET /linkpoint-logo-animated.svg HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:09:23] "GET /vendor/react-dom.production.min.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:09:23] "GET /vendor/react.production.min.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:13:01] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:13:01] "GET /terminal.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:13:01] "GET /sweep.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:13:01] "GET /rules.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:13:01] "GET /glass.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:13:01] "GET /tiles.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:13:01] "GET /support.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:13:01] "GET /vendor/lucide.min.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:13:01] "GET /press.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:13:01] "GET /linkpoint-logo-animated.svg HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:13:01] "GET /linkpoint-logo-static.svg HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:13:01] "GET /vendor/react.production.min.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:13:01] "GET /vendor/react-dom.production.min.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:13:08] "GET /react/dist/index.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:13:08] "GET /react/dist/assets/index-U6suCTw4.css HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2026 13:13:08] "GET /react/dist/assets/index-7qlY2wqB.js HTTP/1.1" 200 -
